["38° 58.719' N,9° 25.393' W"
 "38° 17.04' S,57° 50.005' W"
 "31° 48.308' N,131° 28.033' E"
 "18° 0.279' N,65° 51.849' W"
 "33° 14.674' N,126° 24.771' E"
 "13° 4.36' N,59° 35.402' W"
 "28° 2.344' S,48° 36.412' W"
 "18° 23.908' N,64° 41.358' W"
 "58° 32.179' N,5° 44.38' E"
 "5° 52.756' S,35° 10.276' W"
 "37° 53.763' N,8° 47.949' W"
 "32° 10.7' S,52° 8.529' W"
 "47° 16.761' N,2° 29.796' W"
 "27° 41.632' S,48° 28.961' W"
 "13° 20.431' N,144° 46.382' E"
 "22° 57.282' S,43° 5.74' W"
 "4° 20.877' N,73° 37.07' E"
 "28° 9.675' N,16° 25.685' W"
 "43° 22.284' N,3° 2.298' W"
 "41° 23.435' N,8° 46.512' W"
 "38° 9.748' N,21° 30.864' E"
 "3° 54.322' N,77° 19.142' W"
 "34° 5.226' S,71° 57.813' W"
 "27° 8.869' S,109° 25.94' W"
 "17° 45.761' N,64° 50.039' W"
 "0° 16.763' S,73° 25.249' E"
 "12° 33.573' N,69° 59.276' W"
 "14° 17.161' S,38° 58.976' W"
 "5° 14.196' S,103° 54.563' E"
 "21° 11.254' N,105° 13.793' W"
 "3° 59.371' N,73° 31.185' E"
 "43° 18.306' N,2° 14.385' W"
 "39° 9.176' N,0° 14.304' W"
 "38° 41.852' N,9° 16.626' W"
 "28° 40.396' N,13° 49.995' W"
 "22° 58.084' S,43° 2.89' W"
 "0° 16.988' N,73° 27.151' E"
 "9° 48.927' N,126° 9.842' E"
 "40° 33.515' N,8° 46.316' W"
 "9° 36.46' S,118° 59.088' E"
 "49° 28.057' N,2° 36.975' W"
 "21° 7.873' N,86° 44.798' W"
 "25° 13.883' N,55° 15.597' E"
 "37° 47.277' N,8° 48.188' W"
 "50° 46.291' N,4° 34.959' W"
 "43° 25.731' N,1° 36.571' W"
 "26° 45.945' S,48° 38.409' W"
 "13° 55.36' N,91° 8.802' W"
 "6° 48.758' S,39° 23.849' E"
 "46° 23.377' N,1° 29.6' W"
 "30° 32.854' N,9° 44.553' W"
 "34° 7.326' S,18° 27.387' E"
 "52° 45.487' N,9° 29.82' W"
 "43° 8.291' N,3° 8.995' E"
 "8° 23.571' N,83° 8.362' W"
 "43° 26.296' N,3° 26.219' W"
 "13° 30.602' N,89° 35.755' W"
 "43° 29.81' N,10° 19.227' E"
 "48° 0' N,4° 33.539' W"
 "41° 11.235' N,30° 14.52' E"
 "24° 41.725' N,120° 51.18' E"
 "30° 51.736' S,30° 22.37' E"
 "22° 56.299' S,14° 25.029' E"
 "6° 47.147' N,81° 49.282' E"
 "37° 4.211' N,8° 46.57' W"
 "23° 20.554' N,110° 11.304' W"
 "4° 22.515' N,73° 39.836' E"
 "13° 28.96' N,144° 45.173' E"
 "36° 25.756' N,6° 14.154' W"
 "59° 24.373' N,153° 23.202' W"
 "23° 56.79' N,74° 31.224' W"
 "32° 39.154' N,17° 0.348' W"
 "11° 24.616' N,125° 32.982' E"
 "0° 36.048' N,97° 52.776' E"
 "20° 24.613' S,57° 45.631' E"
 "37° 9.999' N,8° 54.268' W"
 "14° 44.437' N,17° 31.297' W"
 "17° 29.711' S,149° 30.063' W"
 "36° 42.226' N,6° 25.824' W"
 "42° 48.261' N,10° 16.117' E"
 "22° 7.376' N,113° 34.28' E"
 "23° 28.05' S,45° 3.723' W"
 "48° 35.007' N,4° 40.509' W"
 "27° 25.845' S,48° 31.18' W"
 "54° 47.435' N,8° 16.863' E"
 "49° 43.126' N,1° 54.041' W"
 "52° 45.733' N,4° 39.145' E"
 "34° 36' N,137° 12' E"
 "16° 51.802' N,24° 52.743' W"
 "36° 53.568' N,10° 19.629' E"
 "35° 17.719' N,3° 4.058' W"
 "51° 0.061' N,2° 2.113' E"
 "40° 1.763' N,8° 23.531' E"
 "40° 45.709' N,8° 42.802' W"
 "37° 2.893' N,8° 3.884' W"
 "33° 55.734' N,136° 8.915' E"
 "43° 51.138' N,13° 0.747' E"
 "24° 36.609' N,121° 51.918' E"
 "18° 52.478' N,103° 59.366' W"
 "52° 6.167' N,4° 15.721' E"
 "45° 41.583' N,1° 14.25' W"
 "10° 24.318' N,85° 48.179' W"
 "28° 22.56' N,16° 48.436' W"
 "28° 28.438' S,48° 45.759' W"
 "43° 43.386' N,1° 25.984' W"
 "8° 47.312' S,115° 13.955' E"
 "28° 44.929' N,13° 50.142' W"
 "16° 53.717' N,24° 59.52' W"
 "35° 11.764' N,26° 9.051' E"
 "12° 57.345' S,38° 23.1' W"
 "29° 52.923' N,122° 24.872' E"
 "41° 28.424' N,2° 17.913' E"
 "46° 15.475' N,1° 31.072' W"
 "29° 12.314' S,16° 50.338' E"
 "25° 22.965' N,76° 31.511' W"
 "2° 1.099' S,99° 32.827' E"
 "17° 44.888' N,83° 21.056' E"
 "23° 2.948' S,43° 31.6' W"
 "10° 13.684' N,85° 50.254' W"
 "21° 5.153' S,55° 13.386' E"
 "36° 11.017' N,6° 2.174' W"
 "6° 24.128' N,3° 23.687' E"
 "17° 50.661' S,177° 10.823' E"
 "19° 9.8' N,104° 24.844' W"
 "33° 58.819' S,25° 39.79' E"
 "34° 47.986' S,55° 52.387' W"
 "36° 57.796' N,21° 39.526' E"
 "43° 33.301' N,6° 7.003' W"
 "24° 4.335' S,35° 29.964' E"
 "40° 46.464' N,141° 24.755' E"
 "54° 28.583' N,8° 19.317' W"
 "51° 9.973' N,2° 45.82' E"
 "38° 18.381' N,8° 46.825' W"
 "38° 41.939' N,9° 15.107' W"
 "48° 45.499' N,1° 34.378' W"
 "5° 9.088' N,3° 25.746' W"
 "6° 46.223' S,39° 17.031' E"
 "46° 9.838' N,1° 15.19' W"
 "0° 40.498' S,73° 11.937' E"
 "28° 3.511' N,16° 44.214' W"
 "17° 48.084' S,149° 18.8' W"
 "43° 38.735' N,8° 4.59' W"
 "13° 8.69' N,16° 46.6' W"
 "34° 25.674' N,136° 55.217' E"
 "2° 45.415' S,99° 59.072' E"
 "44° 38.529' N,63° 20.521' W"
 "52° 5.606' N,4° 15.048' E"
 "38° 43.636' N,9° 28.593' W"
 "37° 20.672' N,8° 51.25' W"
 "41° 10.402' N,8° 41.45' W"
 "43° 33.605' N,6° 40.552' W"
 "48° 10.137' N,4° 33.383' W"
 "8° 31.284' S,125° 36.446' E"
 "5° 42.104' N,0° 6.347' E"
 "58° 55.874' N,22° 3.056' E"
 "6° 55.307' N,134° 7.415' E"
 "25° 58.602' S,48° 35.444' W"
 "52° 9.8' N,4° 20.865' E"
 "48° 48.982' N,3° 27.331' W"
 "57° 4.502' N,135° 22.376' W"
 "33° 56.486' N,6° 56.416' W"
 "38° 38.454' N,0° 2.843' E"
 "43° 31.591' N,1° 31.508' W"
 "11° 0.501' N,74° 57.067' W"
 "51° 28.12' N,9° 46.515' W"
 "44° 31.551' N,12° 16.783' E"
 "39° 19.354' N,9° 21.548' W"
 "42° 10.515' N,8° 48.937' W"
 "43° 31.692' N,3° 56.146' E"
 "12° 28.813' N,81° 43.718' W"
 "28° 34.475' N,16° 11.321' W"
 "50° 56.627' N,1° 44.588' E"
 "13° 44.683' S,172° 25.331' W"
 "38° 17.099' S,57° 50.058' W"
 "12° 7.342' S,77° 2.759' W"
 "43° 37.119' N,5° 47.267' W"
 "12° 23.074' S,76° 47.385' W"
 "39° 5.31' N,20° 38.846' E"
 "43° 16.435' N,79° 46.687' W"
 "6° 12.796' N,10° 36.754' W"
 "4° 45.051' N,2° 2.741' W"
 "14° 3.07' S,171° 41.421' W"
 "8° 13.859' S,111° 6.091' E"
 "43° 29.651' N,3° 32.233' W"
 "34° 1.502' S,24° 55.86' E"
 "52° 7.007' N,4° 16.906' E"
 "34° 3.627' S,18° 19.57' E"
 "0° 35.477' S,98° 24.798' E"
 "62° 24.393' N,5° 51.16' E"
 "50° 38.747' N,4° 45.881' W"
 "50° 44.207' N,1° 41.802' W"
 "43° 57.396' N,39° 15.821' E"
 "54° 9.055' N,11° 46.525' E"
 "5° 3.004' N,2° 53.967' W"
 "14° 18.424' S,170° 41.491' W"
 "21° 59.241' N,120° 50.75' E"
 "34° 7.382' S,18° 27.296' E"
 "6° 57.805' S,34° 50.554' W"
 "20° 23.056' S,40° 18.605' W"
 "54° 16.758' N,0° 23.861' W"
 "33° 31.666' N,134° 17.097' E"
 "0° 49.465' S,135° 59.991' E"
 "40° 19.746' N,8° 50.618' W"
 "35° 9.41' N,129° 9.631' E"
 "47° 35.948' N,3° 9.118' W"
 "14° 49.789' N,61° 13.596' W"
 "6° 36.879' S,105° 7.84' E"
 "10° 18.981' N,85° 50.495' W"
 "14° 45.369' N,17° 30.671' W"
 "60° 7.17' N,29° 56.503' E"
 "25° 36.288' N,55° 34.734' E"
 "43° 23.678' N,4° 20.165' W"
 "42° 6.344' N,19° 5.121' E"
 "12° 9.733' N,86° 45.53' W"
 "34° 53.849' S,55° 13.447' W"
 "45° 13.41' N,1° 10.403' W"
 "34° 55.141' S,54° 51.223' W"
 "51° 35.45' N,8° 48.096' W"
 "37° 10.801' N,25° 33.252' E"
 "8° 41.283' S,114° 22.371' E"
 "41° 10.508' N,29° 37.484' E"
 "41° 46.883' N,12° 13.45' E"
 "41° 12.564' N,8° 42.935' W"
 "33° 56.884' S,18° 22.612' E"
 "6° 21.023' N,2° 26.097' E"
 "43° 15.515' N,5° 22.493' E"
 "42° 51.197' N,79° 32.063' W"
 "46° 30.598' N,6° 36.896' E"
 "41° 23.568' N,2° 12.442' E"
 "45° 0.201' N,1° 12.268' W"
 "16° 39.102' N,120° 18.921' E"
 "30° 36.748' S,17° 26.064' E"
 "48° 26.006' N,124° 5.615' W"
 "32° 46.969' S,71° 32.52' W"
 "12° 52.433' S,45° 16.823' E"
 "63° 27.486' N,19° 16.108' E"
 "40° 40.313' N,14° 46.373' E"
 "3° 51.485' N,159° 21.875' W"
 "34° 53.967' N,6° 17.339' W"
 "23° 50.392' S,46° 7.42' W"
 "42° 44.847' N,10° 14.458' E"
 "48° 3.749' N,4° 40.383' W"
 "14° 44.432' N,17° 31.427' W"
 "32° 41.989' N,17° 8.085' W"
 "34° 4.422' S,18° 21.63' E"
 "40° 59.351' N,8° 38.751' W"
 "35° 18.288' N,139° 30.704' E"
 "25° 8.83' N,55° 11.576' E"
 "54° 17.011' N,12° 18.63' E"
 "9° 40.777' N,100° 4.406' E"
 "35° 17.26' N,32° 56.118' E"
 "30° 30.536' N,9° 41.259' W"
 "28° 6.191' N,16° 45.424' W"
 "41° 22.731' N,2° 11.56' E"
 "41° 8.248' N,1° 24.329' E"
 "48° 41.512' N,4° 5.161' W"
 "9° 37.872' S,35° 41.764' W"
 "38° 6.728' N,20° 37.486' E"
 "8° 37.374' N,79° 2.306' W"
 "17° 50.639' N,73° 5.247' E"
 "40° 38.686' N,8° 45.758' W"
 "32° 48.425' N,34° 57.337' E"
 "5° 13.467' S,12° 8.251' E"
 "6° 1.888' N,80° 14.253' E"
 "37° 21.002' N,8° 50.73' W"
 "32° 32.261' N,34° 54.034' E"
 "8° 33.466' S,172° 27.741' W"
 "13° 13.147' N,59° 38.549' W"
 "11° 44.53' S,77° 10.155' W"
 "25° 5.374' N,77° 19.526' W"
 "5° 53.007' S,81° 8.887' W"
 "34° 14.618' N,35° 39.52' E"
 "34° 42.66' N,33° 9.954' E"
 "25° 8.383' N,55° 11.34' E"
 "6° 51.163' N,126° 20.824' E"
 "21° 3.209' S,55° 13.351' E"
 "14° 4.65' S,38° 57.267' W"
 "50° 0.301' N,5° 9.69' W"
 "26° 30.791' N,76° 58.088' W"
 "43° 23.821' N,2° 59.212' W"
 "28° 34.303' N,14° 2.927' W"
 "22° 51.814' S,70° 17.797' W"
 "37° 45.217' N,21° 18.16' E"
 "42° 5.53' N,11° 47.902' E"
 "22° 57.997' S,43° 3.155' W"
 "31° 32.185' S,18° 4.409' E"
 "38° 34.726' S,58° 41.575' W"
 "10° 14.157' N,85° 50.47' W"
 "8° 17.314' N,73° 4.075' E"
 "18° 2.646' N,63° 7.555' W"
 "8° 4.915' S,79° 7.495' W"
 "37° 6.729' N,7° 37.347' W"
 "16° 14.863' N,61° 16.379' W"
 "48° 34.755' N,4° 37.968' W"
 "6° 13.733' N,1° 36.408' E"
 "58° 47.966' N,5° 32.953' E"
 "44° 42.907' N,1° 15.025' W"
 "39° 16.951' N,20° 24.267' E"
 "51° 32.257' N,4° 12.709' W"
 "22° 13.222' N,113° 53.108' E"
 "26° 38.364' S,48° 40.95' W"
 "4° 48.481' N,1° 56.039' W"
 "54° 26.895' N,9° 52.157' E"
 "48° 41.138' N,2° 19.128' W"
 "29° 14.58' S,71° 27.889' W"
 "6° 8.325' N,80° 5.892' E"
 "22° 50.701' S,14° 32.187' E"
 "4° 12.111' S,81° 9.783' W"
 "20° 13.714' S,70° 8.923' W"
 "17° 46.545' S,149° 29.013' W"
 "23° 27.788' S,45° 2.961' W"
 "26° 8.092' S,14° 56.634' E"
 "21° 31.531' N,105° 17.433' W"
 "17° 50.423' S,149° 17.778' W"
 "32° 55.549' S,71° 31.713' W"
 "44° 0.298' N,8° 10.369' E"
 "32° 43.035' S,17° 55.158' E"
 "8° 40.879' S,115° 16.066' E"
 "5° 7.539' N,3° 17.45' W"
 "0° 19.435' N,9° 18.675' E"
 "30° 18.833' S,17° 16.326' E"
 "31° 13.821' N,130° 29.546' E"
 "36° 35.989' N,4° 30.531' W"
 "20° 9.066' S,40° 11.008' W"
 "64° 3.67' N,21° 59.868' W"
 "34° 47.877' S,55° 31.743' W"
 "25° 16.117' N,60° 44.961' E"
 "37° 37.865' N,26° 5.438' E"
 "13° 54.994' N,91° 4.208' W"
 "14° 54.957' N,23° 30.324' W"
 "50° 21.853' N,4° 23.25' W"
 "29° 43.377' S,31° 4.06' E"
 "41° 6.671' N,1° 15.428' E"
 "38° 49.221' N,9° 28.463' W"
 "7° 50.326' N,98° 17.364' E"
 "42° 24.878' N,11° 16.647' E"
 "18° 28.156' N,66° 5.387' W"
 "14° 24.4' N,60° 50.923' W"
 "5° 11.55' S,103° 55.804' E"
 "37° 1.543' N,8° 57.932' W"
 "50° 14.068' N,5° 23.904' W"
 "3° 36.305' S,38° 45.72' W"
 "55° 13.351' N,6° 32.14' W"
 "38° 0.364' N,128° 43.96' E"
 "22° 55.322' S,35° 36.072' E"
 "46° 21.274' N,1° 28.603' W"
 "13° 16.937' N,59° 38.993' W"
 "42° 34.169' N,8° 48.237' E"
 "12° 22.92' S,76° 47.347' W"
 "14° 52.199' N,61° 6.996' W"
 "34° 5.049' S,22° 57.57' E"
 "23° 15.406' S,150° 49.808' E"
 "9° 43.362' N,84° 39.236' W"
 "34° 5.386' S,24° 54.942' E"
 "18° 49.972' S,12° 23.23' E"
 "16° 20.009' N,61° 19.927' W"
 "42° 20.187' N,27° 43.959' E"
 "18° 21.314' N,67° 16.215' W"
 "43° 42.792' N,7° 51.191' W"
 "27° 25.79' S,48° 23.434' W"
 "11° 40.103' S,77° 12.354' W"
 "14° 17.567' N,91° 54.932' W"
 "28° 9.905' N,15° 39.254' W"
 "48° 49.279' N,3° 21.237' W"
 "28° 9.16' N,16° 25.917' W"
 "54° 14.666' N,0° 21.353' W"
 "17° 46.735' S,168° 17.523' E"
 "16° 43.29' S,150° 58.579' W"
 "46° 41.309' N,1° 56.397' W"
 "44° 2.235' N,10° 1.944' E"
 "29° 35.641' S,31° 10.257' E"
 "43° 20.526' N,3° 0.891' W"
 "43° 28.209' N,3° 43.873' W"
 "11° 3.989' S,77° 38.253' W"
 "47° 31.303' N,3° 9.282' W"
 "51° 29.31' N,3° 43.496' W"
 "34° 38.591' S,54° 9.252' W"
 "22° 56.33' S,42° 28.572' W"
 "38° 9.126' N,20° 28.84' E"
 "26° 23.18' N,128° 0.178' E"
 "32° 38.654' N,16° 58.157' W"
 "45° 35.286' N,60° 40.773' W"
 "8° 27.932' N,79° 57.512' W"
 "1° 50.399' S,99° 9.081' E"
 "50° 15.999' N,3° 52.366' W"
 "36° 23.287' S,56° 41.614' W"
 "42° 3.012' N,8° 44.829' E"
 "23° 23.36' S,44° 58.344' W"
 "30° 0.329' S,50° 7.749' W"
 "36° 57.965' N,8° 45.222' E"
 "5° 31.875' N,0° 12.875' W"
 "31° 48.983' S,18° 13.97' E"
 "28° 25.049' N,16° 32.466' W"
 "52° 14.617' N,4° 25.809' E"
 "57° 5.535' N,12° 13.358' E"
 "30° 37.467' N,9° 52.697' W"
 "16° 4.233' N,108° 14.795' E"
 "20° 13.641' S,70° 8.989' W"
 "34° 42.886' N,138° 13.045' E"
 "16° 59.378' N,94° 27.184' E"
 "8° 30.414' N,79° 55.028' W"
 "42° 1.478' N,8° 53.27' W"
 "8° 36.538' N,79° 44.435' W"
 "39° 9.289' N,23° 28.256' E"
 "18° 29.556' N,66° 23.786' W"
 "41° 3.705' S,62° 50.92' W"
 "45° 30.965' N,1° 7.782' W"
 "36° 52.78' N,2° 0.2' W"
 "26° 7.625' N,14° 30.097' W"
 "54° 17.423' N,0° 24.07' W"
 "34° 19.455' S,18° 27.96' E"
 "43° 41.999' N,7° 19.253' E"
 "33° 22.173' N,134° 12.41' E"
 "39° 12.303' N,9° 18.751' E"
 "16° 26.052' N,61° 32.38' W"
 "32° 16.357' S,71° 28.52' W"
 "6° 13.932' N,10° 40.929' W"
 "0° 12.2' S,9° 18.324' E"
 "63° 24.74' N,19° 0.528' W"
 "39° 6.577' N,8° 21.888' E"
 "38° 58.954' N,9° 25.362' W"
 "31° 21.624' N,131° 19.911' E"
 "33° 21.507' S,71° 40.26' W"
 "6° 40.795' S,105° 19.536' E"
 "39° 15.832' N,9° 20.231' W"
 "31° 48.537' N,116° 48.581' W"
 "34° 15.533' N,135° 5.675' E"
 "2° 20.366' N,96° 28.115' E"
 "27° 28.926' S,48° 22.854' W"
 "9° 19.63' S,35° 26.312' W"
 "33° 57.733' S,25° 38.707' E"
 "38° 37.503' N,27° 59.878' W"
 "37° 48.298' N,128° 54.588' E"
 "8° 46.28' S,115° 9.455' E"
 "32° 57.643' N,132° 59.674' E"
 "16° 24.999' N,61° 32.056' W"
 "48° 16.861' N,4° 36.894' W"
 "23° 12.535' N,106° 25.699' W"
 "27° 50.074' N,15° 25.101' W"
 "35° 44.266' N,0° 44.154' W"
 "43° 40.64' N,1° 26.582' W"
 "32° 55.063' S,71° 30.786' W"
 "33° 1.162' S,71° 33.742' W"
 "34° 1.741' S,22° 46.518' E"
 "22° 15.964' N,97° 46.998' W"
 "0° 54.6' S,89° 37.666' W"
 "26° 45.208' N,120° 5.689' E"
 "42° 11.491' N,8° 48.789' W"
 "51° 8.419' N,2° 41.126' E"
 "51° 35.533' N,8° 51.762' W"
 "29° 26.863' S,16° 57.99' E"
 "16° 28.363' N,61° 30.716' W"
 "39° 8.435' N,9° 22.693' W"
 "24° 53.504' N,118° 52.417' E"
 "50° 16.697' N,3° 53.109' W"
 "45° 35.839' N,0° 59.785' W"
 "54° 46.022' N,17° 32.648' E"
 "34° 57.48' N,138° 41.484' E"
 "33° 54.395' S,18° 28.284' E"
 "17° 45' S,149° 34.865' W"
 "27° 43.421' S,48° 30.276' W"
 "17° 55.16' N,62° 48.924' W"
 "54° 54.752' N,8° 17.948' E"
 "9° 40.594' S,13° 11.937' E"
 "32° 11.557' S,52° 5.104' W"
 "5° 28.507' N,95° 13.96' E"
 "34° 39.662' N,138° 55.945' E"
 "37° 20.736' N,9° 51.573' E"
 "12° 26.022' N,69° 52.245' W"
 "51° 43.232' N,5° 12.935' W"
 "6° 41.926' S,39° 16.58' E"
 "34° 48.773' N,32° 23.621' E"
 "28° 59.628' S,49° 24.918' W"
 "34° 35.713' S,54° 7.322' W"
 "26° 54.113' S,48° 38.497' W"
 "47° 58.599' N,4° 26.857' W"
 "34° 2.196' S,25° 29.527' E"
 "18° 13.223' N,72° 32.435' W"
 "0° 0' S,0° 0' W"
 "6° 17.421' N,10° 47.305' W"
 "33° 19.207' N,134° 11.714' E"
 "59° 25.94' N,24° 20.742' E"
 "60° 9.715' N,29° 8.546' E"
 "43° 36.023' N,1° 28.438' W"
 "34° 22.283' S,18° 53.846' E"
 "3° 58.806' S,80° 58.794' W"
 "10° 4.414' N,85° 46.342' W"
 "36° 15.13' N,136° 7.262' E"
 "18° 26.997' N,64° 42.506' W"
 "30° 4.744' S,30° 52.345' E"
 "26° 4.021' S,48° 36.459' W"
 "18° 14' N,109° 38.783' E"
 "50° 49.674' N,0° 13.706' W"
 "34° 12.098' S,18° 22.232' E"
 "32° 18.843' S,18° 19.738' E"
 "30° 50.633' N,9° 49.439' W"
 "33° 53.9' S,18° 24.245' E"
 "36° 17.073' N,6° 6.293' W"
 "23° 47.762' S,45° 59.47' W"
 "2° 37.579' S,140° 46.857' E"
 "42° 9.926' N,27° 51.484' E"
 "43° 39.711' N,1° 26.837' W"
 "13° 10.355' N,59° 38.266' W"
 "22° 58.549' S,43° 2.43' W"
 "39° 16.133' N,8° 25.493' E"
 "9° 46.343' S,35° 50.71' W"
 "40° 10.681' N,8° 54.229' W"
 "9° 34.237' N,84° 35.931' W"
 "11° 55.226' N,86° 37.034' W"
 "25° 14.417' N,121° 38.067' E"
 "35° 10.607' N,25° 42.583' E"
 "43° 21.064' N,3° 1.218' W"
 "38° 11.624' N,13° 14.579' E"
 "17° 32.175' S,149° 35.366' W"
 "44° 32.911' N,1° 15.095' W"
 "33° 21.455' S,71° 39.701' W"
 "42° 32.388' N,14° 8.068' E"
 "29° 8.22' N,13° 27.338' W"
 "49° 39.439' N,1° 34.082' W"
 "33° 21.619' S,71° 40.517' W"
 "57° 9.878' N,2° 4.76' W"
 "43° 28.542' N,3° 41.367' W"
 "15° 31.283' N,61° 16.389' W"
 "53° 3.907' N,4° 43.375' E"
 "34° 15.728' N,6° 39.957' W"
 "41° 24.097' N,2° 12.889' E"
 "39° 10.775' N,20° 32.378' E"
 "1° 53.966' S,99° 17.563' E"
 "17° 40.486' S,149° 18.324' W"
 "52° 27.425' N,4° 33.145' E"
 "11° 23.552' N,86° 2.113' W"
 "34° 3.084' S,23° 22.729' E"
 "5° 56.226' N,80° 30.516' E"
 "17° 18.521' N,62° 43.916' W"
 "4° 20.26' S,55° 50.031' E"
 "5° 24.893' N,0° 28.034' W"
 "48° 5.675' N,4° 18.398' W"
 "1° 48.804' N,73° 23.593' E"
 "28° 14.242' N,14° 12.834' W"
 "14° 15.953' S,38° 59.202' W"
 "12° 28.602' S,76° 47.435' W"
 "18° 30.408' N,67° 8.535' W"
 "44° 30.898' N,1° 15.36' W"
 "39° 10.06' N,23° 24.295' E"
 "33° 58.49' S,53° 31.854' W"
 "27° 1.503' S,48° 34.444' W"
 "48° 29.652' N,124° 17.774' W"
 "32° 21.971' N,34° 51.432' E"
 "40° 58.709' N,8° 39.004' W"
 "43° 25.087' N,39° 55.25' E"
 "0° 52.042' N,97° 20.013' E"
 "43° 33.749' N,7° 12.19' W"
 "6° 20.841' N,2° 19.127' E"
 "50° 23.635' N,5° 8.588' W"
 "40° 54.77' S,144° 39.335' E"
 "26° 9.798' S,48° 31.993' W"
 "1° 14.556' N,50° 17.518' W"
 "0° 0' S,0° 0' W"
 "6° 7.013' N,116° 5.856' E"
 "22° 57.818' S,43° 10' W"
 "17° 50.732' S,177° 11.271' E"
 "30° 50.261' N,9° 49.152' W"
 "7° 1.868' N,116° 44.479' E"
 "51° 28.043' N,3° 38.504' W"
 "13° 22.621' S,38° 54.758' W"
 "8° 47.089' S,115° 13.899' E"
 "42° 36.522' N,8° 52.102' E"
 "13° 28.802' N,89° 19.654' W"
 "52° 12.264' N,4° 23.535' E"
 "17° 58.608' N,65° 57.942' W"
 "44° 36.836' N,63° 25.774' W"
 "40° 5.273' N,8° 29.451' E"
 "29° 43.083' S,31° 5.64' E"
 "9° 30.743' N,84° 25.147' W"
 "9° 38.07' S,39° 43.337' E"
 "34° 39.221' N,138° 55.204' E"
 "31° 42.531' N,131° 27.628' E"
 "43° 24.541' N,2° 39.389' W"
 "8° 33.358' S,125° 29.961' E"
 "57° 20.175' N,12° 5.633' E"
 "43° 32.711' N,28° 36.308' E"
 "31° 37.959' N,131° 27.82' E"
 "29° 20.965' S,49° 43.791' W"
 "42° 22.483' N,11° 9.25' E"
 "16° 44.618' N,99° 45.519' W"
 "8° 54.582' S,116° 14.742' E"
 "2° 1.114' N,73° 32.206' E"
 "23° 0.912' S,43° 17.465' W"
 "38° 59.293' N,9° 25.264' W"
 "31° 29.689' N,9° 46.131' W"
 "41° 12.563' N,8° 42.934' W"
 "37° 4.155' N,8° 57.965' W"
 "43° 29.128' N,1° 33.552' W"
 "40° 12.387' N,8° 54.028' W"
 "39° 16.762' N,0° 16.464' W"
 "26° 13.173' S,48° 30.126' W"
 "50° 21.25' N,4° 16.702' W"
 "43° 33.355' N,6° 43.315' W"
 "9° 35.415' N,84° 37.584' W"
 "15° 39.48' N,96° 31.573' W"
 "18° 4.094' N,65° 47.767' W"
 "43° 19.81' S,65° 3.044' W"
 "9° 14.657' N,126° 5.488' E"
 "22° 52.257' S,14° 26.667' E"
 "2° 36.897' S,150° 44.355' E"
 "50° 24.511' N,5° 7.497' W"
 "34° 2.937' S,53° 32.393' W"
 "23° 14.253' N,106° 26.807' W"
 "43° 32.993' N,6° 28.37' W"
 "11° 44.475' S,77° 9.391' W"
 "18° 22.904' N,65° 36.871' W"
 "39° 0.035' N,9° 25.615' W"
 "28° 7.758' N,15° 27.119' W"
 "36° 58.34' N,7° 51.918' W"
 "4° 0.713' N,9° 8.376' E"
 "43° 15.406' N,16° 38.019' E"
 "26° 19.893' N,127° 44.511' E"
 "37° 43.262' N,8° 47.691' W"
 "36° 23.015' N,28° 1.281' E"
 "25° 49.069' S,48° 31.782' W"
 "17° 47.063' S,168° 17.038' E"
 "41° 40.253' N,12° 23.739' E"
 "20° 20.938' S,40° 16.24' W"
 "28° 1.295' S,48° 37.167' W"
 "28° 36.027' S,48° 48.999' W"
 "38° 42.009' N,9° 23.368' W"
 "47° 15.884' N,2° 27.27' W"
 "43° 22.429' N,8° 24.328' W"
 "17° 32.077' S,149° 35.066' W"
 "46° 28.84' N,1° 45.726' W"
 "42° 30.341' N,3° 7.415' E"
 "25° 13.844' N,55° 15.452' E"
 "8° 42.213' S,115° 26.452' E"
 "38° 5.409' N,12° 39.371' E"
 "33° 48.501' S,18° 27.997' E"
 "15° 51.521' N,97° 4.74' W"
 "63° 56.05' N,22° 41.512' W"
 "43° 24.646' N,4° 42.515' W"
 "30° 4.306' S,71° 22.61' W"
 "43° 8.002' N,5° 46.786' E"
 "4° 19.006' N,73° 35.417' E"
 "40° 2.317' N,23° 59.217' E"
 "28° 12.066' N,16° 49.893' W"
 "11° 15.893' N,73° 46.213' W"
 "52° 46.259' N,4° 39.511' E"
 "43° 27.891' N,1° 34.631' W"
 "5° 7.781' S,81° 10.178' W"
 "48° 15.127' N,4° 33.137' W"
 "20° 38.116' S,40° 25.544' W"
 "43° 29.675' N,1° 32.867' W"
 "21° 56.594' N,120° 44.74' E"
 "25° 28.578' S,32° 58.3' E"
 "30° 29.714' N,9° 40.689' W"
 "21° 26.127' N,105° 12.233' W"
 "49° 19.501' N,123° 9.103' W"
 "8° 53.446' S,116° 44.146' E"
 "51° 13.119' N,2° 52.479' E"
 "54° 0.074' N,10° 46.939' E"
 "16° 42.75' S,151° 2.754' W"
 "34° 9.493' S,18° 26.144' E"
 "33° 58.707' S,25° 39.353' E"
 "21° 2.068' S,55° 13.084' E"
 "5° 29.855' N,0° 21.465' W"
 "34° 10.858' S,22° 9.475' E"
 "34° 6.116' S,18° 47.967' E"
 "45° 42.364' N,1° 14.366' W"
 "13° 9.936' N,59° 25.91' W"
